Date,Close,High,Low,Open,Volume
2026-07-31,331.8299865722656,333.9800109863281,319.4800109863281,332.3399963378906,5027700
2026-08-03,347.1300048828125,347.70001220703125,330.0,336.489990234375,7306700
2026-08-04,366.3399963378906,367.5,349.07000732421875,351.6000061035156,8186900
2026-08-05,362.6600036621094,376.9800109863281,362.2200012207031,373.8699951171875,5607500
2026-08-06,359.489990234375,361.4700012207031,349.0,350.1300048828125,5684200
2026-08-07,363.8599853515625,370.5,359.1499938964844,365.5,4811300
2026-08-10,385.0400085449219,385.1700134277344,362.9500122070313,365.3800048828125,5828000
2026-08-11,383.7999877929688,387.2000122070313,375.9299926757813,384.2000122070313,6039700
2026-08-12,387.010009765625,389.25,376.2200012207031,380.8999938964844,5492100
2026-08-13,396.0,398.8800048828125,387.3500061035156,394.1199951171875,4593400
2026-08-14,384.2699890136719,397.30999755859375,380.8500061035156,396.760009765625,4353500
2026-08-17,375.760009765625,386.0,372.2999877929688,383.25,5088800
2026-08-18,374.1400146484375,378.0400085449219,368.0,370.3399963378906,4946000
2026-08-19,359.760009765625,376.4299926757813,351.4599914550781,375.260009765625,5286100
2026-08-20,349.5599975585937,360.7000122070313,347.67999267578125,354.1199951171875,4736200
2026-08-21,357.8699951171875,360.489990234375,343.010009765625,352.3999938964844,5136100
2026-08-24,350.8999938964844,357.8699951171875,347.04998779296875,356.05999755859375,5463900
2026-08-25,339.8999938964844,353.7699890136719,335.510009765625,353.7699890136719,4727900
2026-08-26,339.30999755859375,342.25,328.0,330.4599914550781,4588300
2026-08-27,382.8500061035156,387.3299865722656,356.6600036621094,358.55999755859375,7308800
